标题,品牌,详情链接,城市,购买年份,里程,过户次数,原价,售价,文本,文本1,文本2,文本3,文本4,文本5,文本6,文本7,文本8,文本9,文本10,文本11,文本12,文本13,文本14,文本15,文本16,文本17
ZEEKR X 2023款 YOU版 四座四驱,极氪,https://www.dongchedi.com/usedcar/17997516,武汉,2024年 , 0.50万公里,0,22.98万,13.50万,ZEEKR X 2023款 YOU版 四座四驱,武汉,2024年1月,自动,22.98万,极氪,紧凑型SUV,纯电动,纯电动 428马力,500,500,543,电动车单速变速箱,5门4座SUV,4年或10万公里,永磁/同步,三元锂电池,8年或20万公里(首任车主不限年限/里程，责任免除条款以官方为准)
优优EV 2018款 40KWh标准型,开瑞,https://www.dongchedi.com/usedcar/17986450,深圳,2020年 , 6.89万公里,0,17.10万,1.56万,优优EV 2018款 40KWh标准型,深圳,2020年1月,自动,17.1万,开瑞汽车,微面,纯电动,纯电动 82马力,256,,电动车单速变速箱,4430x1626x1940,110,,永磁/同步,磷酸铁锂电池,
奥迪Q4 e-tron 2023款 40 e-tron 创境曜夜版,奥迪,https://www.dongchedi.com/usedcar/17948358,成都,2023年 , 2.90万公里,0,31.37万,14.50万,奥迪Q4 e-tron 2023款 40 e-tron 创境曜夜版,成都,2023年6月,自动,31.37万,一汽奥迪,紧凑型SUV,纯电动,纯电动 204马力,605,605,310,电动车单速变速箱,5门5座SUV,14.4,永磁/同步,三元锂电池,84.8
Model Y 2022款 后轮驱动版,特斯拉,https://www.dongchedi.com/usedcar/17936575,东莞,2022年 , 6.50万公里,1,31.69万,14.66万,Model Y 2022款 后轮驱动版,东莞,2022年6月,自动,31.69万,特斯拉中国,中型SUV,纯电动,纯电动 264马力,545,快充1小时 慢充10小时,电动车单速变速箱,4750x1921x1624,217,1655.0元,永磁/同步,磷酸铁锂电池,8年或16万公里
Model 3 2021款 标准续航后驱升级版 3D6,特斯拉,https://www.dongchedi.com/usedcar/17849901,菏泽,2022年 , 5.74万公里,0,25.17万,13.76万,,,,,31.69万,特斯拉中国,中型SUV,纯电动,纯电动 264马力,545,快充1小时 慢充10小时,电动车单速变速箱,4750x1921x1624,217,1655.0元,永磁/同步,磷酸铁锂电池,8年或16万公里
长安启源A07 2023款 200 Pro增程版,长安启源,https://www.dongchedi.com/usedcar/17802497,郑州,2024年 , 1.90万公里,0,16.49万,9.69万,长安启源A07 2023款 200 Pro增程版,郑州,2024年7月,自动,16.49万,长安启源,中大型车,增程式,增程式 218马力,170,170,30-80,160(218Ps),电动车单速变速箱,7.8,1480,增程式 218马力,160
小蚂蚁 2021款 15万蚁粉款 蚁潮版 磷酸铁锂,奇瑞新能源,https://www.dongchedi.com/usedcar/17777723,合肥,2021年 , 3万公里,1,6.68万,3.38万,小蚂蚁 2021款 15万蚁粉款 蚁潮版 磷酸铁锂,合肥,2021年4月,自动,6.68万,奇瑞新能源,微型车,纯电动,纯电动 41马力,301,,电动车单速变速箱,3200x1670x1550,100,不限年限/里程(责任免除条款以官方为准),永磁/同步,磷酸铁锂电池,35.6
理想ONE 2020款 增程6座版,理想汽车,https://www.dongchedi.com/usedcar/17743747,常州,2021年 , 8.50万公里,1,32.80万,13.88万,理想ONE 2020款 增程6座版,常州,2021年3月,自动,32.8万,理想汽车,中大型SUV,增程式,增程式 326马力,180,快充0.5小时 慢充6小时,电动车单速变速箱,5020x1960x1760,172,9038.0元,1199,增程式 326马力,240
领克09 EM-P 2023款 EM-P 2.0TD 远航版 六座PM,领克,https://www.dongchedi.com/usedcar/17531238,台州,2022年 , 2.60万公里,1,34.98万,20.58万,领克09 EM-P 2023款 EM-P 2.0TD 远航版 六座PM,台州,2022年11月,自动,34.98万,领克,中大型SUV,插电式混合动力,2.0T 254马力 L4 插电式混合动力,160,160,382,844,5042x1977x1780,0.95,1969,插电式混合动力 313马力,230
AION Y 2021款 70 科技活力版,埃安,https://www.dongchedi.com/usedcar/17510405,洛阳,2022年 , 2.98万公里,0,13.59万,7.99万,AION Y 2021款 70 科技活力版,洛阳,2022年2月,自动,13.59万,广汽埃安新能源,紧凑型SUV,纯电动,纯电动 184马力,500,,电动车单速变速箱,4410x1870x1645,150,3264.0元,永磁/同步,磷酸铁锂电池,63.98
宝马i5 2024款 eDrive35L 尊享型 M运动套装,宝马,https://www.dongchedi.com/usedcar/17483251,武汉,2024年 , 0.47万公里,0,46.59万,29.30万,宝马i5 2024款 eDrive35L 尊享型 M运动套装,武汉,2024年4月,自动,46.59万,华晨宝马,中大型车,纯电动,纯电动 286马力,536,536,410,电动车单速变速箱,4门5座三厢车,1.76,励磁/同步,三元锂电池,8年或16万公里
唐DM 2021款 DM-i 1.5T 112KM 尊贵型,比亚迪,https://www.dongchedi.com/usedcar/17432046,东莞,2022年 , 5.20万公里,0,20.98万,10.58万,唐DM 2021款 DM-i 1.5T 112KM 尊贵型,东莞,2022年2月,自动,20.98万,比亚迪,中型SUV,插电式混合动力,1.5T 139马力 L4 插电式混动,112,快充0.5小时 慢充3小时,231,325,4870x1950x1725,5.5,1497,插电式混动 218马力,160
优优EV 2018款 34KWh标准型,开瑞,https://www.dongchedi.com/usedcar/17164181,深圳,2018年 , 10.50万公里,1,14.88万,1.38万,优优EV 2018款 34KWh标准型,深圳,2018年12月,自动,14.88万,开瑞汽车,微面,纯电动,纯电动 88马力,200,,电动车单速变速箱,4430x1626x1940,110,,永磁/同步,三元锂电池,
Model Y 2021款 Performance 高性能全轮驱动版,特斯拉,https://www.dongchedi.com/usedcar/16792186,北京,2021年 , 7.10万公里,0,41.79万,19.38万,Model Y 2021款 Performance 高性能全轮驱动版,北京,2021年12月,自动,41.79万,特斯拉中国,中型SUV,纯电动,纯电动 486马力,615,快充1小时 慢充10小时,电动车单速变速箱,4750x1921x1624,250,1655.0元,前感应/异步后永磁/同步,三元锂电池,78.4
优优EV 2018款 40KWh标准型,开瑞,https://www.dongchedi.com/usedcar/14400668,深圳,2020年 , 7.60万公里,0,17.10万,1.59万,优优EV 2018款 40KWh标准型,深圳,2020年2月,自动,17.1万,开瑞汽车,微面,纯电动,纯电动 82马力,256,,电动车单速变速箱,4430x1626x1940,110,,永磁/同步,磷酸铁锂电池,
雷克萨斯UX EV 2020款 300e 纯·享,雷克萨斯,https://www.dongchedi.com/usedcar/18472103,石家庄,2020年 , 6.30万公里,0,38.50万,6.80万,,,,,17.1万,开瑞汽车,微面,纯电动,纯电动 82马力,256,,电动车单速变速箱,4430x1626x1940,110,,永磁/同步,磷酸铁锂电池,
零跑T03 2020款 400 轻享版,零跑汽车,https://www.dongchedi.com/usedcar/18462492,西安,2021年 , 4.97万公里,0,5.98万,3.28万,,,,,17.1万,开瑞汽车,微面,纯电动,纯电动 82马力,256,,电动车单速变速箱,4430x1626x1940,110,,永磁/同步,磷酸铁锂电池,
汉DM 2023款 DM-i 冠军版 121KM尊贵型,比亚迪,https://www.dongchedi.com/usedcar/18440158,深圳,2023年 , 1.60万公里,0,19.98万,11.78万,,,,,17.1万,开瑞汽车,微面,纯电动,纯电动 82马力,256,,电动车单速变速箱,4430x1626x1940,110,,永磁/同步,磷酸铁锂电池,
唐DM 2022款 DM-p 215KM四驱旗舰型,比亚迪,https://www.dongchedi.com/usedcar/18439970,武汉,2023年 , 2.20万公里,0,33.18万,16.80万,唐DM 2022款 DM-p 215KM四驱旗舰型,武汉,2023年10月,自动,33.18万,比亚迪,中型SUV,插电式混合动力,1.5T 139马力 L4 插电式混动,215,176,452,231,E-CVT无级变速,4.3,1497,插电式混动 490马力,360
Model 3 2022款 Performance高性能全轮驱动版,特斯拉,https://www.dongchedi.com/usedcar/18439255,深圳,2022年 , 2.50万公里,1,33.19万,20.95万,,,,,33.18万,比亚迪,中型SUV,插电式混合动力,1.5T 139马力 L4 插电式混动,215,176,452,231,E-CVT无级变速,4.3,1497,插电式混动 490马力,360
欧拉黑猫 2019款 351km 灵趣版,欧拉,https://www.dongchedi.com/usedcar/18438158,东莞,2019年 , 10.10万公里,0,7.18万,2.76万,欧拉黑猫 2019款 351km 灵趣版,东莞,2019年6月,自动,7.18万,长城汽车,微型车,纯电动,纯电动 48马力,351,快充0.67小时 慢充10小时,电动车单速变速箱,3495x1660x1560,102,116.0元,永磁/同步,三元锂电池,33
蔚来ES8 2024款 100kWh 行政版,蔚来,https://www.dongchedi.com/usedcar/18430893,北京,2024年 , 0.35万公里,1,57.60万,33.90万,蔚来ES8 2024款 100kWh 行政版,北京,2024年7月,自动,57.6万,蔚来,中大型SUV,纯电动,纯电动 653马力,605,605,480(653Ps),850,5099x1989x1750,17.9,前永磁/同步后交流/异步,三元锂电池,首任车主10年不限里程质保（责任免除条款以官方为准）
领克09 EM-P 2021款 2.0TD 性能版 六座Halo,领克,https://www.dongchedi.com/usedcar/18414391,东莞,2022年 , 4.60万公里,0,32.79万,16.65万,领克09 EM-P 2021款 2.0TD 性能版 六座Halo,东莞,2022年6月,自动,32.79万,领克,中大型SUV,插电式混合动力,2.0T 254马力 L4 插电式混合动力,60,60,659,8挡手自一体,5门6座SUV,18.7,1969,插电式混合动力 177马力,130
理想ONE 2021款 增程6座版,理想汽车,https://www.dongchedi.com/usedcar/18414124,佛山,2022年 , 8.90万公里,1,34.98万,14.90万,理想ONE 2021款 增程6座版,佛山,2022年1月,自动,34.98万,理想汽车,中大型SUV,增程式,增程式 333马力,188,188,快充0.5小时 慢充6小时,20-80,455,172,1199,增程式 333马力,245
AION Y 2022款 70 科技版 磷酸铁锂,埃安,https://www.dongchedi.com/usedcar/18402743,苏州,2022年 , 7.30万公里,0,15.76万,7.35万,AION Y 2022款 70 科技版 磷酸铁锂,苏州,2022年8月,自动,15.76万,广汽埃安新能源,紧凑型SUV,纯电动,纯电动 184马力,500,快充0.57小时 慢充9.5小时,电动车单速变速箱,4410x1870x1645,150,4年或15万公里,永磁/同步,磷酸铁锂电池,时代广汽
ID.4 X 2021款 1st Edition ID.初见版,大众,https://www.dongchedi.com/usedcar/18400615,郑州,2021年 , 8.50万公里,1,23.59万,9.99万,ID.4 X 2021款 1st Edition ID.初见版,郑州,2021年3月,自动,23.5888万,上汽大众,紧凑型SUV,纯电动,纯电动 204马力,555,快充0.67小时 慢充12.5小时,电动车单速变速箱,4612x1852x1640,160,3376.0元,永磁/同步,三元锂电池,8年或16万公里
小鹏P7 2022款 670E+,小鹏汽车,https://www.dongchedi.com/usedcar/18399088,东莞,2022年 , 8万公里,0,31.79万,12.18万,小鹏P7 2022款 670E+,东莞,2022年3月,自动,31.79万,小鹏汽车,中型车,纯电动,纯电动 267马力,670,670,390,电动车单速变速箱,4门5座三厢车,1.5,永磁/同步,三元锂电池,8年或16万公里
汉DM 2022款 DM-i 121KM尊贵型,比亚迪,https://www.dongchedi.com/usedcar/18384986,济宁,2023年 , 2.88万公里,0,21.78万,12.84万,汉DM 2022款 DM-i 121KM尊贵型,济宁,2023年3月,自动,21.78万,比亚迪,中大型车,插电式混合动力,1.5T 139马力 L4 插电式混动,101,121,102(139Ps),145(197Ps),316,185,1497,插电式混动 197马力,145
理想ONE 2020款 增程6座版,理想汽车,https://www.dongchedi.com/usedcar/18384799,石家庄,2021年 , 8.80万公里,1,32.80万,13.98万,理想ONE 2020款 增程6座版,石家庄,2021年5月,自动,32.8万,理想汽车,中大型SUV,增程式,增程式 326马力,180,快充0.5小时 慢充6小时,电动车单速变速箱,5020x1960x1760,172,9038.0元,1199,增程式 326马力,240
银河L6 2023款 1.5T DHT 125km 星舰,吉利银河,https://www.dongchedi.com/usedcar/18377451,乌鲁木齐,2023年 , 1.80万公里,1,14.98万,8.20万,银河L6 2023款 1.5T DHT 125km 星舰,乌鲁木齐,2023年12月,自动,14.98万,吉利银河,紧凑型车,插电式混合动力,1.5T 163马力 L4 插电式混动,105,105,30-80,287,3挡DHT,6.5,1499,插电式混合动力 146马力,107
汉DM 2022款 DM-i 242KM旗舰型,比亚迪,https://www.dongchedi.com/usedcar/18368923,杭州,2024年 , 1.30万公里,0,29.18万,15.98万,汉DM 2022款 DM-i 242KM旗舰型,杭州,2024年1月,自动,29.18万,比亚迪,中大型车,插电式混合动力,1.5T 139马力 L4 插电式混动,206,242,30-80,102(139Ps),231,4门5座三厢车,1497,插电式混动 218马力,160
Model Y 2021款 标准续航后轮驱动版,特斯拉,https://www.dongchedi.com/usedcar/18330209,武汉,2022年 , 4.50万公里,1,29.18万,15.99万,,,,,29.18万,比亚迪,中大型车,插电式混合动力,1.5T 139马力 L4 插电式混动,206,242,30-80,102(139Ps),231,4门5座三厢车,1497,插电式混动 218马力,160
EX3 功夫牛 2021款 功夫牛牛,吉利几何,https://www.dongchedi.com/usedcar/18289029,昆明,2021年 , 3.70万公里,1,7.88万,4.32万,EX3 功夫牛 2021款 功夫牛牛,昆明,2021年11月,自动,7.88万,吉利几何,小型SUV,纯电动,纯电动 95马力,322,322,180,电动车单速变速箱,5门5座SUV,3年或12万公里,永磁/同步,三元锂电池,37.23
宝马iX3 2024款 领先型,宝马,https://www.dongchedi.com/usedcar/18282824,合肥,2024年 , 2万公里,0,40.50万,18.90万,宝马iX3 2024款 领先型,合肥,2024年3月,自动,40.5万,华晨宝马,中型SUV,纯电动,纯电动 286马力,540,540,400,电动车单速变速箱,5门5座SUV,1.72,励磁/同步,三元锂电池,8年或16万公里
深蓝SL03 2022款 1200增程版,深蓝汽车,https://www.dongchedi.com/usedcar/18273952,成都,2023年 , 4.90万公里,0,17.19万,8.70万,深蓝SL03 2022款 1200增程版,成都,2023年2月,自动,17.19万,深蓝汽车,中型车,增程式,增程式 218马力,200,200,160(218Ps),320,4820x1890x1480,0.75,1480,增程式 218马力,160
Cayenne E-Hybrid 2023款 Cayenne E-Hybrid 2.0T 铂金版,保时捷,https://www.dongchedi.com/usedcar/18255891,苏州,2023年 , 3.90万公里,1,99.80万,62.90万,Cayenne E-Hybrid 2023款 Cayenne E-Hybrid 2.0T 铂金版,苏州,2023年2月,自动,99.8万,保时捷,中大型SUV,插电式混合动力,2.0T 251马力 L4 插电式混动,44,44,600,8挡手自一体,5门5座SUV,24.2,1984,插电式混动 136马力,100
海豹DM 2023款 DM-i 1.5T 121KM尊荣型,比亚迪,https://www.dongchedi.com/usedcar/18233574,芜湖,2023年 , 2万公里,0,19.68万,9.98万,海豹DM 2023款 DM-i 1.5T 121KM尊荣型,芜湖,2023年9月,自动,19.68万,比亚迪,中型车,插电式混合动力,1.5T 139马力 L4 插插电式混动,100,121,102(139Ps),160(218Ps),325,180,1497,插电式混合动力 218马力,160
元PLUS 2022款 510KM 旗舰型PLUS,比亚迪,https://www.dongchedi.com/usedcar/18232584,温州,2022年 , 3万公里,0,16.78万,8.50万,元PLUS 2022款 510KM 旗舰型PLUS,温州,2022年3月,自动,16.78万,比亚迪,紧凑型SUV,纯电动,纯电动 204马力,510,快充0.5小时 慢充8.64小时,电动车单速变速箱,4455x1875x1615,160,6年或15万公里,永磁/同步,磷酸铁锂电池,比亚迪
Model 3(进口) 2019款 标准续航后驱升级版,特斯拉,https://www.dongchedi.com/usedcar/18230623,广州,2019年 , 4.80万公里,0,36.39万,10.99万,Model 3(进口) 2019款 标准续航后驱升级版,广州,2019年11月,自动,36.39万,特斯拉(进口),中型车,纯电动,纯电动 238马力,480,快充1小时 慢充10小时,电动车单速变速箱,4694x1850x1443,225,,交流/异步,三元锂电池,60
蔚来ET5T 2024款 75kWh,蔚来,https://www.dongchedi.com/usedcar/18217267,郑州,2024年 , 0.36万公里,0,29.80万,17.60万,蔚来ET5T 2024款 75kWh,郑州,2024年9月,自动,29.8万,蔚来,中型车,纯电动,纯电动 490马力,530,530,360(490Ps),700,4790x1960x1499,16.2,前感应/异步后永磁/同步,磷酸铁锂电池+三元锂电池,首任车主10年不限里程质保（责任免除条款以官方为准）
宝马iX3 2022款 领先型,宝马,https://www.dongchedi.com/usedcar/18217239,南昌,2022年 , 2.48万公里,1,39.99万,16.99万,宝马iX3 2022款 领先型,南昌,2022年10月,自动,39.99万,华晨宝马,中型SUV,纯电动,纯电动 286马力,500,500,210(286Ps),400,4746x1891x1683,16.7,励磁/同步,三元锂电池,8年或16万公里
荣威D5X DMH 2024款 135科技版,荣威,https://www.dongchedi.com/usedcar/18175440,郑州,2024年 , 0.50万公里,0,14.68万,9.28万,荣威D5X DMH 2024款 135科技版,郑州,2024年3月,自动,14.68万,上汽集团,紧凑型SUV,插电式混合动力,1.5T 150马力 L4 插电式混动,105,105,快充0.5小时,30-80,145(197Ps),4700x1890x1664,1496,插电式混动 197马力,145
蔚来EC6 2020款 430KM 运动版,蔚来,https://www.dongchedi.com/usedcar/18156645,无锡,2021年 , 7万公里,0,36.80万,12.58万,蔚来EC6 2020款 430KM 运动版,无锡,2021年3月,自动,36.8万,蔚来,中型SUV,纯电动,纯电动 435马力,430,快充0.8小时 慢充10小时,电动车单速变速箱,4850x1965x1731,200,不限年限/里程(责任免除条款以官方为准),永磁/同步,三元锂电池,首任车主不限年限/里程（责任免除条款以官方为准）
零跑C01 2022款 后驱长续航版,零跑汽车,https://www.dongchedi.com/usedcar/18070386,东莞,2022年 , 0.43万公里,0,20.98万,9.80万,零跑C01 2022款 后驱长续航版,东莞,2022年12月,自动,20.98万,零跑汽车,中大型车,纯电动,纯电动 272马力,606,606,360,电动车单速变速箱,4门5座三厢车,1.64,永磁/同步,磷酸铁锂电池,78.54
大众ID.3 2024款 出众版,大众,https://www.dongchedi.com/usedcar/18053583,宜宾,2024年 , 1.02万公里,0,17.14万,9.38万,大众ID.3 2024款 出众版,宜宾,2024年6月,自动,17.1388万,上汽大众,紧凑型车,纯电动,纯电动 170马力,450,450,310,电动车单速变速箱,5门5座两厢车,13.1,永磁/同步,三元锂电池,8年或16万公里
长安UNI-V 智电iDD 2023款 智电iDD 113km智趣型(飞快版),长安,https://www.dongchedi.com/usedcar/18050153,长沙,2024年 , 0.01万公里,0,15.19万,9.58万,长安UNI-V 智电iDD 2023款 智电iDD 113km智趣型(飞快版),长沙,2024年12月,自动,15.19万,长安汽车,紧凑型车,插电式混合动力,1.5T 170马力 L4 插电式混动,100,113,30-80,125(170Ps),260,5门5座掀背车,1494,插电式混动 170马力,125
荣威ei6 2017款 45T 混动互联智享版,荣威,https://www.dongchedi.com/usedcar/18038690,东莞,2018年 , 7.10万公里,0,20.18万,3.58万,荣威ei6 2017款 45T 混动互联智享版,东莞,2018年8月,自动,20.18万,上汽集团,紧凑型车,插电式混合动力,1.0T 125马力 L3 插电式混动,53,慢充3小时,2挡自动,4671x1835x1460,200,3年或10万公里,999,插电式混动 82马力,60
五菱宏光MINIEV 2024款 215km进阶版 磷酸铁锂,五菱汽车,https://www.dongchedi.com/usedcar/18011716,合肥,2024年 , 1.04万公里,1,4.68万,2.76万,五菱宏光MINIEV 2024款 215km进阶版 磷酸铁锂,合肥,2024年3月,自动,4.68万,上汽通用五菱,微型车,纯电动,纯电动 41马力,215,215,92,电动车单速变速箱,3门4座两厢车,1.02,永磁/同步,磷酸铁锂电池,首任车主不限年限/不限里程（责任免除条款以官方为准）
岚图FREE 2024款 超长续航智驾版,岚图,https://www.dongchedi.com/usedcar/17994617,绍兴,2024年 , 0.76万公里,1,26.69万,16.88万,岚图FREE 2024款 超长续航智驾版,绍兴,2024年3月,自动,26.69万,岚图汽车,中大型SUV,增程式,增程式 490马力,160,160,30-80,360(490Ps),电动车单速变速箱,4.8,1499,增程式 490马力,360
岚图FREE 2024款 超长续航智驾版,岚图,https://www.dongchedi.com/usedcar/17992724,包头,2024年 , 0.89万公里,1,26.69万,16.88万,岚图FREE 2024款 超长续航智驾版,包头,2024年3月,自动,26.69万,岚图汽车,中大型SUV,增程式,增程式 490马力,160,160,30-80,360(490Ps),电动车单速变速箱,4.8,1499,增程式 490马力,360
宋L EV 2024款 662km 卓越型,比亚迪,https://www.dongchedi.com/usedcar/17990637,成都,2024年 , 0.80万公里,0,22.98万,14.48万,宋L EV 2024款 662km 卓越型,成都,2024年1月,自动,22.98万,比亚迪,中型SUV,纯电动,纯电动 313马力,662,662,360,电动车单速变速箱,5门5座SUV,1.67,永磁/同步,磷酸铁锂电池,比亚迪
海豹DM 2023款 DM-i 1.5T 121KM旗舰型,比亚迪,https://www.dongchedi.com/usedcar/17987381,南京,2023年 , 1.46万公里,1,20.98万,12.36万,海豹DM 2023款 DM-i 1.5T 121KM旗舰型,南京,2023年11月,自动,20.98万,比亚迪,中型车,插电式混合动力,1.5T 139马力 L4 插电式混动,100,121,102(139Ps),160(218Ps),325,180,1497,插电式混合动力 218马力,160
江淮iEV6E 2018款 运动版 豪华智享型,江汽集团,https://www.dongchedi.com/usedcar/17968495,合肥,2019年 , 4.60万公里,1,15.88万,2.18万,江淮iEV6E 2018款 运动版 豪华智享型,合肥,2019年1月,自动,15.88万,江淮汽车,微型车,纯电动,纯电动 68马力,310,快充1小时 慢充8小时,电动车单速变速箱,3690x1685x1570,102,266.0元,永磁/同步,三元锂电池,41.5
宋L EV 2024款 662km 卓越型,比亚迪,https://www.dongchedi.com/usedcar/17955396,徐州,2024年 , 0.89万公里,0,22.98万,14.50万,,,,,15.88万,江淮汽车,微型车,纯电动,纯电动 68马力,310,快充1小时 慢充8小时,电动车单速变速箱,3690x1685x1570,102,266.0元,永磁/同步,三元锂电池,41.5
岚图FREE 2024款 超长续航智驾版,岚图,https://www.dongchedi.com/usedcar/17840945,西宁,2024年 , 0.95万公里,1,26.69万,16.88万,岚图FREE 2024款 超长续航智驾版,西宁,2024年4月,自动,26.69万,岚图汽车,中大型SUV,增程式,增程式 490马力,160,160,30-80,360(490Ps),电动车单速变速箱,4.8,1499,增程式 490马力,360
ID.7 VIZZION 2024款 首发版,大众,https://www.dongchedi.com/usedcar/17833139,郑州,2024年 , 0.50万公里,0,23.08万,14.59万,ID.7 VIZZION 2024款 首发版,郑州,2024年5月,自动,23.0777万,一汽-大众,中型车,纯电动,纯电动 204马力,642,642,310,电动车单速变速箱,5门5座掀背车,1.55,永磁/同步,三元锂电池,8年或16万公里
岚图FREE 2024款 超长续航智驾版,岚图,https://www.dongchedi.com/usedcar/17821433,湖州,2024年 , 0.38万公里,1,26.69万,16.88万,岚图FREE 2024款 超长续航智驾版,湖州,2024年7月,自动,26.69万,岚图汽车,中大型SUV,增程式,增程式 490马力,160,160,30-80,360(490Ps),电动车单速变速箱,4.8,1499,增程式 490马力,360
腾势D9 DM 2022款 1040 尊贵型,腾势,https://www.dongchedi.com/usedcar/17469962,盐城,2023年 , 3.60万公里,1,37.58万,23.68万,腾势D9 DM 2022款 1040 尊贵型,盐城,2023年2月,自动,37.58万,腾势汽车,中大型MPV,插电式混合动力,1.5T 139马力 L4 插电式混动,155,190,30-80,254,E-CVT无级变速,9.5,1497,插电式混动 231马力,170
奔驰C级PHEV 2022款 C 350 eL,奔驰,https://www.dongchedi.com/usedcar/17466528,贵阳,2023年 , 1.60万公里,1,40.73万,23.98万,奔驰C级PHEV 2022款 C 350 eL,贵阳,2023年5月,自动,40.73万,北京奔驰,中型车,插电式混合动力,2.0T 204马力 L4 插电式混动,105,105,440,9挡手自一体,4门5座三厢车,19.1,1999,插电式混合动力 129马力,95
哪吒S 2022款 增程式 1160中版,哪吒汽车,https://www.dongchedi.com/usedcar/17273650,襄阳,2023年 , 1.70万公里,1,21.88万,11.98万,哪吒S 2022款 增程式 1160中版,襄阳,2023年5月,自动,21.88万,合众汽车,中大型车,增程式,增程式 231马力,310,310,30-80,170(231Ps),电动车单速变速箱,6.9,1498,增程式 231马力,170
宋Pro DM 2023款 DM-i 冠军版 110km 卓越型,比亚迪,https://www.dongchedi.com/usedcar/17246340,北京,2024年 , 0.50万公里,0,15.98万,10.10万,宋Pro DM 2023款 DM-i 冠军版 110km 卓越型,北京,2024年1月,自动,15.98万,比亚迪,紧凑型SUV,插电式混合动力,1.5L 110马力 L4 插电式混动,85,110,快充1小时 慢充5.5小时,,145(197Ps),4738x1860x1710,1498,插电式混动 197马力,145
理想ONE 2021款 增程6座版,理想汽车,https://www.dongchedi.com/usedcar/17002421,北京,2022年 , 6.31万公里,0,34.98万,16.35万,理想ONE 2021款 增程6座版,北京,2022年8月,自动,34.98万,理想汽车,中大型SUV,增程式,增程式 333马力,188,188,快充0.5小时 慢充6小时,20-80,455,172,1199,增程式 333马力,245
江淮iEV6E 2018款 运动版 豪华智享型,江汽集团,https://www.dongchedi.com/usedcar/16549127,深圳,2018年 , 5.60万公里,1,15.88万,2.18万,江淮iEV6E 2018款 运动版 豪华智享型,深圳,2018年9月,自动,15.88万,江淮汽车,微型车,纯电动,纯电动 68马力,310,快充1小时 慢充8小时,电动车单速变速箱,3690x1685x1570,102,266.0元,永磁/同步,三元锂电池,41.5
AION Y 2023款 Plus 510 科技版 磷酸铁锂,埃安,https://www.dongchedi.com/usedcar/16330486,广州,2022年 , 5.60万公里,0,14.18万,7.78万,AION Y 2023款 Plus 510 科技版 磷酸铁锂,广州,2022年12月,自动,14.18万,广汽埃安新能源,紧凑型SUV,纯电动,纯电动 204马力,510,510,225,电动车单速变速箱,5门5座SUV,1.5,永磁/同步,磷酸铁锂电池,"时代广汽,亿纬动力,中创新航"
问界M7 2022款 两驱舒适版,AITO,https://www.dongchedi.com/usedcar/18481688,重庆,2022年 , 5.05万公里,1,28.98万,15.98万,问界M7 2022款 两驱舒适版,重庆,2022年10月,自动,28.98万,赛力斯汽车,中大型SUV,增程式,增程式 272马力,195,195,30-80,200(272Ps),电动车单速变速箱,7.8,1499,增程式 272马力,200
Model 3 2022款 后轮驱动版,特斯拉,https://www.dongchedi.com/usedcar/18466520,长沙,2022年 , 2.60万公里,1,23.19万,14.68万,Model 3 2022款 后轮驱动版,长沙,2022年11月,自动,23.19万,特斯拉中国,中型车,纯电动,纯电动 264马力,556,556,340,电动车单速变速箱,4门5座三厢车,1.41,永磁/同步,磷酸铁锂电池,8年或16万公里
秦PLUS DM 2023款 DM-i 冠军版 55KM 领先型,比亚迪,https://www.dongchedi.com/usedcar/18461004,西安,2023年 , 2.36万公里,1,9.98万,5.08万,秦PLUS DM 2023款 DM-i 冠军版 55KM 领先型,西安,2023年4月,自动,9.98万,比亚迪,紧凑型车,插电式混合动力,1.5L 110马力 L4 插电式混动,46,55,81(110Ps),132(180Ps),316,185,1498,插电式混动 180马力,132
驱逐舰05 2023款 DM-i 冠军版 120KM 尊荣型,比亚迪,https://www.dongchedi.com/usedcar/18459825,西安,2023年 , 1.60万公里,0,13.78万,8.18万,驱逐舰05 2023款 DM-i 冠军版 120KM 尊荣型,西安,2023年7月,自动,13.78万,比亚迪,紧凑型车,插电式混合动力,1.5L 110马力 L4 插电式混动,101,120,30-80,81(110Ps),135,4门5座三厢车,1498,插电式混动 197马力,145
小鹏P7 2024款 P7i 702 Max鹏翼版,小鹏汽车,https://www.dongchedi.com/usedcar/18458617,深圳,2024年 , 0.53万公里,1,28.99万,18.38万,小鹏P7 2024款 P7i 702 Max鹏翼版,深圳,2024年7月,自动,28.99万,小鹏汽车,中型车,纯电动,纯电动 276马力,702,702,203(276Ps),440,4888x1896x1450,13.8,永磁/同步,三元锂电池,8年或16万公里
ZEEKR 001 2023款 WE版 86kWh 四驱,极氪,https://www.dongchedi.com/usedcar/18458469,常州,2024年 , 1.30万公里,0,30.00万,17.80万,ZEEKR 001 2023款 WE版 86kWh 四驱,常州,2024年2月,自动,30万,极氪,中大型车,纯电动,纯电动 544马力,560,560,686,电动车单速变速箱,5门5座掀背车,1.93,永磁/同步,三元锂电池,首任车主终身质保(责任免除条款以官方为准)
