标题,品牌,详情链接,城市,购买年份,里程,过户次数,原价,售价
迈腾 2016款 1.8TSI 25周年纪念版,大众,https://www.dongchedi.com/usedcar/18112493,太原,2016年 , 14万公里,0,22.48万,4.95万
奥迪A4L 2015款 35 TFSI 自动标准型,奥迪,https://www.dongchedi.com/usedcar/18053313,汕头,2014年 , 13.20万公里,1,31.28万,5.60万
高尔夫(进口) 2011款 1.4TSI Cross Golf,大众,https://www.dongchedi.com/usedcar/17759531,昆明,2012年 , 16万公里,2,28.33万,3.90万
揽胜 2019款 3.0 V6 SC 传世加长版,路虎,https://www.dongchedi.com/usedcar/15595022,成都,2020年 , 12.30万公里,1,157.30万,86.80万
Cayenne 2016款 Cayenne 3.0T,保时捷,https://www.dongchedi.com/usedcar/14921867,上海,2017年 , 13.80万公里,1,88.80万,26.98万
传祺M8 2023款 领秀系列 390T 尊贵版,广汽传祺,https://www.dongchedi.com/usedcar/18413679,太原,2023年 , 2.70万公里,0,21.98万,15.80万
阿特兹 2018款 2.5L 蓝天至尊版 国V,马自达,https://www.dongchedi.com/usedcar/18326694,东莞,2019年 , 8.80万公里,0,23.78万,9.28万
奔驰G级 2024款 G 500,奔驰,https://www.dongchedi.com/usedcar/18267912,深圳,2024年 , 1.20万公里,0,189.90万,199.00万
雷克萨斯ES 2022款 200 卓越版,雷克萨斯,https://www.dongchedi.com/usedcar/18255602,东莞,2024年 , 1万公里,0,29.69万,23.80万
五菱征程 2021款 1.5T 手动豪华型,五菱汽车,https://www.dongchedi.com/usedcar/17930934,东莞,2022年 , 4.80万公里,0,8.38万,5.68万
星越L 2021款 2.0TD DCT EVO两驱尊贵型,吉利汽车,https://www.dongchedi.com/usedcar/17775889,沈阳,2023年 , 2.45万公里,1,15.52万,12.46万
明锐 2012款 1.6L 手动逸俊版,斯柯达,https://www.dongchedi.com/usedcar/16746777,镇江,2012年 , 10万公里,0,13.70万,1.38万
甲壳虫 2008款 1.8T AT 豪华型,大众,https://www.dongchedi.com/usedcar/16438602,汕头,2009年 , 13.50万公里,2,22.73万,2.30万
宝马3系 2013款 改款 320Li 豪华设计套装,宝马,https://www.dongchedi.com/usedcar/8545524,东莞,2014年 , 13.50万公里,0,39.60万,5.58万
宝马6系GT 2022款 630i 豪华设计套装,宝马,https://www.dongchedi.com/usedcar/18499247,广州,2024年 , 2万公里,1,59.09万,37.80万
雷克萨斯ES 2020款 200 卓越版 国VI,雷克萨斯,https://www.dongchedi.com/usedcar/18423721,赣州,2019年 , 7.20万公里,0,29.00万,16.18万
朗逸 2023款 新锐 1.5L 自动新愿版,大众,https://www.dongchedi.com/usedcar/18403108,深圳,2023年 , 2万公里,0,11.00万,6.58万
奔驰E级 2023款 E 260 L 轿车,奔驰,https://www.dongchedi.com/usedcar/18346371,合肥,2023年 , 3万公里,1,44.01万,33.58万
哥瑞 2016款 1.5L CVT舒适版,本田,https://www.dongchedi.com/usedcar/18333166,汕头,2018年 , 8.80万公里,0,9.98万,3.90万
领裕 2021款 EcoBoost 225 6座尊领型Plus,福特,https://www.dongchedi.com/usedcar/18176959,郑州,2021年 , 8.30万公里,1,21.98万,8.60万
宝马3系(进口) 2013款 改款 320i运动设计套装,宝马,https://www.dongchedi.com/usedcar/18170235,佛山,2013年 , 18万公里,1,37.90万,5.48万
宝马X1 2021款 sDrive25Li 领先型,宝马,https://www.dongchedi.com/usedcar/18149684,福州,2021年 , 4.80万公里,0,30.98万,12.13万
奥迪A6L 2023款 45 TFSI quattro 臻选动感型,奥迪,https://www.dongchedi.com/usedcar/18118726,西安,2024年 , 2.91万公里,0,47.99万,34.68万
科沃兹 2018款 320 自动欣享版,雪佛兰,https://www.dongchedi.com/usedcar/18068896,北京,2018年 , 6.23万公里,0,8.89万,2.75万
途观 2012款 2.0TSI 自动四驱菁英版,大众,https://www.dongchedi.com/usedcar/17486327,北京,2013年 , 14.11万公里,2,28.68万,2.99万
奔驰M级 2010款 ML 300 4MATIC,奔驰,https://www.dongchedi.com/usedcar/16538218,长春,2011年 , 17万公里,2,77.80万,4.80万
奔驰E级(进口) 2012款 E 260 CGI 敞篷版,奔驰,https://www.dongchedi.com/usedcar/13855332,杭州,2013年 , 11万公里,1,73.80万,7.58万
标致408 2014款 1.8L 自动领先版,标致,https://www.dongchedi.com/usedcar/18223514,郑州,2015年 , 10.20万公里,1,14.17万,2.68万
奔驰E级(进口) 2012款 E 260 CGI 敞篷版,奔驰,https://www.dongchedi.com/usedcar/13855332,杭州,2013年 , 11万公里,1,73.80万,7.58万
标致408 2014款 1.8L 自动领先版,标致,https://www.dongchedi.com/usedcar/18223514,郑州,2015年 , 10.20万公里,1,14.17万,2.68万
标致3008 2016款 2.0L 自动经典版,标致,https://www.dongchedi.com/usedcar/18178235,汕头,2017年 , 13.20万公里,0,15.27万,3.50万
奥迪A4L 2015款 35 TFSI 自动舒适型,奥迪,https://www.dongchedi.com/usedcar/18163898,上海,2015年 , 14.30万公里,0,33.29万,6.28万
奔驰E级 2023款 E 300 L 豪华型 轿车,奔驰,https://www.dongchedi.com/usedcar/18036685,石家庄,2023年 , 3.90万公里,1,50.41万,38.60万
雪铁龙C5 2014款 2.0L 自动尊悦型,雪铁龙,https://www.dongchedi.com/usedcar/17907922,北京,2015年 , 9万公里,0,18.19万,2.70万
奔驰R级 2014款 R 320 4MATIC 豪华型,奔驰,https://www.dongchedi.com/usedcar/17879012,哈尔滨,2015年 , 11.60万公里,0,67.80万,12.80万
北京BJ40 2020款 2.0T 自动四驱城市猎人版至尊型,北京,https://www.dongchedi.com/usedcar/17838879,银川,2023年 , 2.99万公里,0,18.98万,12.96万
MG7 2023款 1.5T DCT至美优雅版,名爵,https://www.dongchedi.com/usedcar/17824814,成都,2024年 , 1.40万公里,0,13.78万,10.00万
奔驰M级 2010款 ML 350 4MATIC豪华型特别版,奔驰,https://www.dongchedi.com/usedcar/17807942,深圳,2011年 , 13万公里,0,89.80万,5.88万
星越L 2021款 2.0TD DCT EVO两驱尊贵型,吉利汽车,https://www.dongchedi.com/usedcar/17674589,银川,2022年 , 5.75万公里,1,15.52万,11.26万
奥迪S5 2010款 S5 3.0T Sportback,奥迪,https://www.dongchedi.com/usedcar/15275162,东莞,2012年 , 20.44万公里,1,71.80万,7.58万
奥迪A6L 2023款 改款 45 TFSI quattro 臻选动感型,奥迪,https://www.dongchedi.com/usedcar/18464476,西安,2023年 , 2.80万公里,0,47.99万,30.98万
凌渡 2019款 230TSI DSG视野版 国VI,大众,https://www.dongchedi.com/usedcar/18349099,石家庄,2019年 , 7.50万公里,1,16.11万,6.38万
Giulia朱丽叶 2017款 2.0T 200HP 豪华版,阿尔法·罗密欧,https://www.dongchedi.com/usedcar/18338187,绵阳,2017年 , 7.60万公里,2,34.98万,10.99万
途铠 2019款 280TSI DSG舒适版,大众,https://www.dongchedi.com/usedcar/18322528,长沙,2019年 , 7万公里,0,14.79万,5.88万
高尔夫 2020款 挚爱版 280TSI DSG R-Line,大众,https://www.dongchedi.com/usedcar/18310910,成都,2020年 , 6.70万公里,0,17.07万,8.20万
沃尔沃XC60 2019款 T5 四驱智逸版 国VI,沃尔沃,https://www.dongchedi.com/usedcar/18302963,上海,2019年 , 6.50万公里,1,39.19万,15.60万
奔驰V级 2022款 V 260 L 长轴距尊贵版,奔驰,https://www.dongchedi.com/usedcar/18294261,北京,2023年 , 1.20万公里,0,61.68万,44.90万
奥迪A3 2016款 Limousine 35 TFSI 领英型,奥迪,https://www.dongchedi.com/usedcar/18226133,昆明,2017年 , 4.90万公里,0,21.52万,7.68万
奔驰GLC 2021款 GLC 260 L 4MATIC 动感型,奔驰,https://www.dongchedi.com/usedcar/18147473,昆明,2021年 , 8.90万公里,0,39.78万,23.98万
荣威RX5 2021款 PLUS 300TGI 自动Ali国潮旗舰荣麟版,荣威,https://www.dongchedi.com/usedcar/18036457,济南,2020年 , 4.10万公里,0,13.28万,5.28万
凯迪拉克SRX 2015款 3.0L 精英型,凯迪拉克,https://www.dongchedi.com/usedcar/17945438,苏州,2016年 , 12万公里,1,43.98万,6.60万
奔驰G级 2022款 G 500,奔驰,https://www.dongchedi.com/usedcar/17940701,深圳,2022年 , 2万公里,0,189.20万,176.80万
别克GL8 2011款 3.0L GT豪华商务豪雅版,别克,https://www.dongchedi.com/usedcar/17915613,苏州,2011年 , 22万公里,1,36.80万,3.98万
红旗HS5 2023款 2.0T 四驱旗享Pro版,红旗,https://www.dongchedi.com/usedcar/17678069,银川,2024年 , 2.37万公里,1,21.38万,15.56万
威朗 2019款 三厢 15S 自动进取型,别克,https://www.dongchedi.com/usedcar/17034234,东莞,2019年 , 10万公里,0,14.59万,3.98万
奔驰A级 2023款 A 200 L 运动轿车时尚版,奔驰,https://www.dongchedi.com/usedcar/18465171,青岛,2023年 , 3.40万公里,1,26.48万,14.98万
保时捷718 2018款 Boxster 2.0T,保时捷,https://www.dongchedi.com/usedcar/18355640,成都,2017年 , 8万公里,0,56.50万,27.20万
奥德赛 2011款 劲秀 2.4L 豪华版,本田,https://www.dongchedi.com/usedcar/18345594,深圳,2011年 , 18万公里,0,25.68万,4.98万
Macan 2022款 Macan 2.0T,保时捷,https://www.dongchedi.com/usedcar/18226506,青岛,2023年 , 2.90万公里,0,55.40万,42.80万
别克GL8 2017款 25S 豪华型 国V,别克,https://www.dongchedi.com/usedcar/18217384,南京,2018年 , 16.30万公里,1,24.99万,7.95万
途岳 2022款 280TSI 两驱豪华版,大众,https://www.dongchedi.com/usedcar/18056160,东莞,2022年 , 3.10万公里,0,18.16万,10.28万
宝马4系 2022款 425i M运动套装,宝马,https://www.dongchedi.com/usedcar/18012266,成都,2023年 , 2.80万公里,1,37.39万,28.80万
奥迪Q3 2024款 45 TFSI quattro 时尚动感型,奥迪,https://www.dongchedi.com/usedcar/17810068,烟台,未上牌 , 1.30万公里,-1,32.98万,18.68万
雷克萨斯ES 2021款 200 卓越版,雷克萨斯,https://www.dongchedi.com/usedcar/18476947,广州,2022年 , 5万公里,0,29.49万,20.38万
宋MAX 2019款 1.5T 自动智联睿逸天窗型 7座 国VI,比亚迪,https://www.dongchedi.com/usedcar/18472048,佛山,2020年 , 13.64万公里,0,10.19万,5.38万
星瑞 2023款 1.5T 扶摇版,吉利汽车,https://www.dongchedi.com/usedcar/18467311,苏州,2024年 , 2.80万公里,0,10.87万,7.08万
宝马5系 2022款 二次改款 530Li 领先型 M运动套装,宝马,https://www.dongchedi.com/usedcar/18450409,合肥,2023年 , 6万公里,0,47.19万,28.80万
奥迪A8 2025款 A8L 45 TFSI quattro豪华型,奥迪,https://www.dongchedi.com/usedcar/18431628,上海,2024年 , 0.01万公里,1,78.98万,57.88万
艾瑞泽8 2022款 1.6TGDI DCT臻,奇瑞,https://www.dongchedi.com/usedcar/18429578,苏州,2023年 , 3.20万公里,1,13.29万,7.55万
别克GL8 2021款 ES陆尊 653T 豪华型,别克,https://www.dongchedi.com/usedcar/18375260,济南,2021年 , 9.80万公里,0,37.99万,19.98万
骊威 2010款 劲悦版 1.6L 自动全能型,日产,https://www.dongchedi.com/usedcar/18332627,深圳,2012年 , 16万公里,2,9.58万,1.88万
宝马X1 2020款 sDrive20Li 尊享型,宝马,https://www.dongchedi.com/usedcar/18263502,郑州,2020年 , 4.60万公里,1,29.68万,11.99万
别克GL6 2019款 18T 6座精英型 国V,别克,https://www.dongchedi.com/usedcar/18214049,成都,2018年 , 5.10万公里,0,14.29万,5.18万
沃兰多 2018款 Redline 530T 自动耀享版(5+2款) 国V,雪佛兰,https://www.dongchedi.com/usedcar/18189296,北京,2019年 , 6.80万公里,0,15.49万,4.95万
雅阁 2008款 2.0L EX,本田,https://www.dongchedi.com/usedcar/18133228,深圳,2009年 , 15.46万公里,2,19.98万,2.28万
奥迪A6L 2023款 改款 40 TFSI 豪华动感型,奥迪,https://www.dongchedi.com/usedcar/18116285,潍坊,2023年 , 3.60万公里,0,42.79万,27.88万
奔驰A级 2022款 A 200 L 运动轿车时尚版,奔驰,https://www.dongchedi.com/usedcar/18060186,青岛,2022年 , 1.35万公里,1,26.48万,13.98万
雅阁 2022款 260TURBO 幻夜·尊贵版,本田,https://www.dongchedi.com/usedcar/18048248,东莞,2022年 , 4.70万公里,0,20.28万,13.18万
MG7 2023款 1.5T DCT至美豪华版,名爵,https://www.dongchedi.com/usedcar/17966225,银川,2024年 , 1.47万公里,0,12.58万,10.26万
高尔夫 2016款 230TSI 自动舒适型,大众,https://www.dongchedi.com/usedcar/17695599,青岛,2016年 , 6万公里,1,15.49万,4.98万
坦克300 2024款 2.0T 征服者 ,坦克,https://www.dongchedi.com/usedcar/16876373,石家庄,2023年 , 2.10万公里,0,21.68万,17.68万
长安CS55 PLUS 2023款 第二代 1.5T DCT轻年版,长安,https://www.dongchedi.com/usedcar/18492804,常州,2023年 , 2.30万公里,0,10.39万,6.80万
阿特兹 2017款 2.5L 蓝天至尊版,马自达,https://www.dongchedi.com/usedcar/18271678,北京,2017年 , 5.40万公里,0,23.58万,8.58万
高尔夫 2023款 280TSI DSG R-Line Lite,大众,https://www.dongchedi.com/usedcar/18029654,银川,2023年 , 2.84万公里,0,16.28万,11.96万
奥迪Q3 2015款 35 TFSI 舒适型,奥迪,https://www.dongchedi.com/usedcar/18028555,沈阳,2015年 , 11万公里,1,31.60万,5.00万
雷克萨斯ES 2010款 350 豪华版,雷克萨斯,https://www.dongchedi.com/usedcar/17149807,佛山,2011年 , 20万公里,0,59.80万,6.98万
君越 2013款 2.4L SIDI精英舒适型,别克,https://www.dongchedi.com/usedcar/16247355,东莞,2013年 , 11.80万公里,0,25.59万,2.98万
揽胜星脉 2020款 P250,路虎,https://www.dongchedi.com/usedcar/18330326,成都,2020年 , 9.60万公里,0,57.28万,23.38万
讴歌CDX 2016款 1.5T 两驱尊享版,讴歌,https://www.dongchedi.com/usedcar/18262219,福州,2017年 , 5.80万公里,0,25.98万,7.38万
朗逸 2015款 1.6L 自动舒适版,大众,https://www.dongchedi.com/usedcar/18255958,深圳,2016年 , 10万公里,1,13.69万,3.88万
迈腾 2013款 1.8TSI 尊贵型,大众,https://www.dongchedi.com/usedcar/17970708,北京,2014年 , 11.20万公里,1,25.28万,4.05万
MINI COUNTRYMAN 2014款 1.6T COOPER ALL4 Fun,MINI,https://www.dongchedi.com/usedcar/17942408,长沙,2015年 , 6.40万公里,0,29.60万,5.98万
Macan 2023款 改款 Macan 2.0T,保时捷,https://www.dongchedi.com/usedcar/16239761,东莞,2024年 , 0.96万公里,0,57.80万,45.00万
北京BJ20 2016款 1.5T CVT豪华型,北京,https://www.dongchedi.com/usedcar/14263184,汕头,2017年 , 5.90万公里,1,12.98万,3.68万
凯迪拉克CT5 2022款 28T 豪华型,凯迪拉克,https://www.dongchedi.com/usedcar/18475267,西安,2023年 , 3.80万公里,0,29.97万,17.30万
哈弗二代大狗 2023款 2.0T 两驱潮野版Plus,哈弗,https://www.dongchedi.com/usedcar/18471130,成都,2023年 , 1.60万公里,0,14.68万,10.88万
长安UNI-T 2023款 第二代 1.5T 尊贵型,长安,https://www.dongchedi.com/usedcar/18368011,长沙,2024年 , 1.50万公里,0,12.39万,8.68万
奔驰GLC 2017款 GLC 300 4MATIC 动感型,奔驰,https://www.dongchedi.com/usedcar/18339188,桂林,2017年 , 9.10万公里,2,48.80万,15.98万
Cayenne 2011款 Cayenne 3.0T,保时捷,https://www.dongchedi.com/usedcar/18152486,苏州,2011年 , 10.30万公里,0,92.20万,14.98万
Panamera 2023款 Panamera 行政加长铂金版 2.9T,保时捷,https://www.dongchedi.com/usedcar/18136393,南京,2023年 , 1.80万公里,0,122.60万,90.80万
威霆 2020款 2.0T 商务版 7座,奔驰,https://www.dongchedi.com/usedcar/16040521,广州,2020年 , 7.60万公里,0,34.18万,23.88万
别克GL8 2021款 ES陆尊 653T 舒适型,别克,https://www.dongchedi.com/usedcar/18434497,成都,2021年 , 8.40万公里,0,31.39万,19.50万
奥拓 2016款 1.0L 自动豪华炫动版,铃木,https://www.dongchedi.com/usedcar/18424455,北京,2018年 , 4.30万公里,0,6.19万,3.58万
迈腾 2016款 1.8TSI 25周年纪念版,大众,https://www.dongchedi.com/usedcar/18187298,武汉,2017年 , 8.29万公里,0,22.48万,5.59万
红旗HS5 2025款 2.0T 旗享Pro版,红旗,https://www.dongchedi.com/usedcar/18151025,北京,2024年 , 0.02万公里,0,19.98万,15.68万
奔驰B级 2012款 B 180,奔驰,https://www.dongchedi.com/usedcar/17730052,沈阳,2013年 , 15万公里,1,27.80万,3.50万
探陆 2024款 380VC-TURBO 四驱智尊版 六座,日产,https://www.dongchedi.com/usedcar/17713294,深圳,2024年 , 0.30万公里,0,30.18万,23.69万
雷克萨斯ES 2010款 350 豪华版,雷克萨斯,https://www.dongchedi.com/usedcar/16978606,温州,2011年 , 17万公里,0,59.80万,4.98万
英菲尼迪G系 2013款 G25 Sedan 豪华运动版,英菲尼迪,https://www.dongchedi.com/usedcar/15975603,常州,2013年 , 18.80万公里,2,37.58万,4.68万
雷克萨斯ES 2021款 260 卓越版,雷克萨斯,https://www.dongchedi.com/usedcar/18420162,东莞,2021年 , 4.48万公里,2,35.09万,23.33万
别克GL8 2021款 陆上公务舱 652T 尊贵型,别克,https://www.dongchedi.com/usedcar/18415765,济南,2021年 , 10.10万公里,0,27.99万,13.98万
雷克萨斯ES 2022款 200 卓越版,雷克萨斯,https://www.dongchedi.com/usedcar/18395323,温州,2023年 , 1.50万公里,0,29.69万,20.98万
奥迪A7L 2024款 45 TFSI quattro 黑武士版,奥迪,https://www.dongchedi.com/usedcar/18350781,合肥,2024年 , 0.50万公里,0,47.97万,37.80万
奥迪A3 2021款 A3L Limousine 35 TFSI 时尚运动型,奥迪,https://www.dongchedi.com/usedcar/18341746,成都,2021年 , 3.60万公里,1,22.98万,11.50万
天籁 2016款 2.0L XL-Upper 智尚版,日产,https://www.dongchedi.com/usedcar/18318105,南宁,2017年 , 5.50万公里,1,19.64万,7.38万
哈弗H4 2019款 1.5GDIT DCT豪华智联版 国VI,哈弗,https://www.dongchedi.com/usedcar/18300822,青岛,2019年 , 6.50万公里,0,10.50万,4.38万
迈特威 2018款 2.0TSI 四驱探索版 7座,大众,https://www.dongchedi.com/usedcar/18236980,大连,2019年 , 13.30万公里,1,50.98万,31.80万
星越L 2021款 2.0TD DCT EVO两驱旗舰型,吉利汽车,https://www.dongchedi.com/usedcar/18198098,佛山,2021年 , 5.20万公里,0,16.52万,10.98万
金威 2021款 1.8L捷运10座高顶LJ4A18Q6,金龙,https://www.dongchedi.com/usedcar/18178622,北京,2021年 , 4.80万公里,0,7.98万,3.98万
大众CC 2016款 1.8TSI 尊贵型,大众,https://www.dongchedi.com/usedcar/17987293,武汉,2016年 , 8万公里,0,25.28万,6.38万
宝马3系 2021款 改款 325i M运动曜夜套装,宝马,https://www.dongchedi.com/usedcar/17943617,上海,2021年 , 5.50万公里,0,33.19万,16.60万
奔驰GLB 2021款 GLB 200 时尚型,奔驰,https://www.dongchedi.com/usedcar/17920945,武汉,2021年 , 4.60万公里,0,32.88万,16.38万
天籁 2011款 2.0L XL荣耀版,日产,https://www.dongchedi.com/usedcar/17833982,金华,2011年 , 9万公里,0,21.98万,2.80万
奥迪A4L 2015款 35 TFSI 自动标准型,奥迪,https://www.dongchedi.com/usedcar/15881918,北京,2015年 , 15.70万公里,0,31.28万,6.58万
捷途旅行者 2023款 2.0TD 四驱 穿越PRO+,捷途,https://www.dongchedi.com/usedcar/18483692,成都,2024年 , 1.50万公里,0,17.99万,13.48万
雷克萨斯GX 2014款 400 尊贵版,雷克萨斯,https://www.dongchedi.com/usedcar/18473274,东莞,2015年 , 18.64万公里,0,92.30万,38.80万
轩逸 2022款 经典 1.6 XL CVT豪华版,日产,https://www.dongchedi.com/usedcar/18389211,深圳,2025年 , 0.01万公里,0,11.86万,8.89万
奔腾B70 2024款 第四代 2.0T 领航型,奔腾,https://www.dongchedi.com/usedcar/18306413,宁波,2024年 , 1万公里,0,13.79万,7.50万
朗逸 2013款 改款经典 1.6L 手动风尚版,大众,https://www.dongchedi.com/usedcar/18150905,遵义,2017年 , 13万公里,1,11.29万,2.88万
奥迪A3 2020款 Limousine 35 TFSI 时尚型 国VI,奥迪,https://www.dongchedi.com/usedcar/17961695,上海,2020年 , 4.40万公里,1,21.97万,9.20万
Panamera 2017款 Panamera 3.0T,保时捷,https://www.dongchedi.com/usedcar/17902209,苏州,2018年 , 7.60万公里,1,97.30万,52.80万
凌渡 2021款 230TSI DSG风尚版,大众,https://www.dongchedi.com/usedcar/17850437,滨州,2022年 , 8.20万公里,3,15.09万,7.58万
别克GL8 2021款 ES陆尊 653T 舒适型,别克,https://www.dongchedi.com/usedcar/17676723,福州,2021年 , 7.80万公里,0,31.39万,19.60万
帝豪 2025款 第4代 1.5L CVT尊贵型,吉利汽车,https://www.dongchedi.com/usedcar/17616775,台州,2024年 , 0.03万公里,0,8.39万,6.98万
奔驰GLE 2022款 GLE 350 4MATIC 动感型,奔驰,https://www.dongchedi.com/usedcar/18445600,深圳,2022年 , 4.10万公里,0,69.98万,49.80万
轩逸 2023款 1.6L CVT悦享版,日产,https://www.dongchedi.com/usedcar/18361485,佛山,2023年 , 2.40万公里,0,12.99万,8.18万
保时捷718 2018款 Cayman 2.0T,保时捷,https://www.dongchedi.com/usedcar/18325932,郑州,2018年 , 8.30万公里,1,54.50万,22.98万
凯美瑞 2018款 2.5S 锋尚版,丰田,https://www.dongchedi.com/usedcar/18314461,深圳,2018年 , 7.50万公里,1,22.28万,9.38万
雅阁 2022款 260TURBO 豪华版,本田,https://www.dongchedi.com/usedcar/18266783,佛山,2022年 , 4.60万公里,1,19.28万,13.68万
Panamera 2021款 Panamera 行政加长版 2.9T,保时捷,https://www.dongchedi.com/usedcar/18140321,厦门,2021年 , 5万公里,2,113.80万,81.00万
昂科威 2017款 20T 两驱技术型,别克,https://www.dongchedi.com/usedcar/18115295,长沙,2017年 , 8万公里,0,20.99万,5.38万
宝来 2021款 1.5L 自动时尚智联版,大众,https://www.dongchedi.com/usedcar/17859146,汕头,2022年 , 5.90万公里,0,12.30万,6.20万
高尔夫 2016款 1.6L 自动时尚型,大众,https://www.dongchedi.com/usedcar/17802144,上海,2015年 , 7.50万公里,0,13.39万,3.45万
奥迪Q5L 2018款 40 TFSI 荣享进取型 国V,奥迪,https://www.dongchedi.com/usedcar/17651898,常州,2019年 , 7.60万公里,2,38.28万,13.00万
沃尔沃XC60 2016款 T5 智进版,沃尔沃,https://www.dongchedi.com/usedcar/15063724,长春,2015年 , 12万公里,0,39.69万,6.88万
奥迪A6L 2023款 45 TFSI 臻选动感型,奥迪,https://www.dongchedi.com/usedcar/18488621,西安,2023年 , 6.56万公里,2,45.49万,28.68万
奔驰GLC 2020款 改款 GLC 260 L 4MATIC 动感型,奔驰,https://www.dongchedi.com/usedcar/18332891,东莞,2020年 , 7.70万公里,0,39.48万,20.00万
普拉多 2019款 3.5L 自动TX-L尊享版后挂备胎,丰田,https://www.dongchedi.com/usedcar/18273824,太原,2019年 , 6.70万公里,0,50.48万,31.80万
朗逸 2017款 1.6L 自动舒适版,大众,https://www.dongchedi.com/usedcar/18144839,烟台,2018年 , 6.80万公里,1,13.39万,4.58万
DS 7 2018款 45THP 歌剧院版,DS,https://www.dongchedi.com/usedcar/18133292,深圳,2018年 , 7.68万公里,1,30.99万,10.58万
索兰托 2009款 2.4L 豪华版,起亚,https://www.dongchedi.com/usedcar/17938572,广州,2010年 , 16万公里,2,24.98万,2.38万
途锐 2010款 4.2 限量顶配版,大众,https://www.dongchedi.com/usedcar/17836767,北京,2010年 , 19.80万公里,3,138.00万,18.60万
蒙迪欧 2013款 2.0L GTDi200豪华型,福特,https://www.dongchedi.com/usedcar/17634220,汕头,2014年 , 10万公里,1,22.28万,3.98万
奔驰C级 2017款 C 200 L 4MATIC 运动版,奔驰,https://www.dongchedi.com/usedcar/17300121,温州,2017年 , 7万公里,0,39.98万,12.00万
翼神 2011款 致尚版 1.8L CVT限量款,三菱,https://www.dongchedi.com/usedcar/16873518,温州,2011年 , 11万公里,0,14.68万,1.98万
速腾 2014款 1.4TSI 自动豪华型,大众,https://www.dongchedi.com/usedcar/15798760,厦门,2014年 , 10万公里,0,16.78万,2.98万
保时捷718 2016款 Boxster 2.0T,保时捷,https://www.dongchedi.com/usedcar/15066770,石家庄,2017年 , 7万公里,0,59.80万,32.80万
坦克300 2021款 越野版 2.0T 征服者,坦克,https://www.dongchedi.com/usedcar/18489345,杭州,2022年 , 5.40万公里,0,21.38万,15.30万
宝马2系(进口) 2023款 225i 四门轿跑车 M运动套装,宝马,https://www.dongchedi.com/usedcar/18324856,长沙,2023年 , 0.37万公里,0,27.29万,17.28万
卡罗拉 2017款 1.6L CVT GL,丰田,https://www.dongchedi.com/usedcar/18322465,长沙,2016年 , 8万公里,2,11.78万,4.08万
奔驰E级 2022款 二次改款 E 300 L 豪华型 轿车,奔驰,https://www.dongchedi.com/usedcar/18135579,青岛,2022年 , 4.90万公里,0,49.88万,35.80万
欧力威 2013款 1.2L 手动精英型,长安欧尚,https://www.dongchedi.com/usedcar/18111715,成都,2015年 , 4万公里,2,4.49万,1.18万
途观 2016款 280TSI 自动两驱丝绸之路舒适版,大众,https://www.dongchedi.com/usedcar/17988585,常州,2018年 , 10万公里,0,22.08万,6.68万
朗逸 2014款 1.4TSI DSG运动版,大众,https://www.dongchedi.com/usedcar/17451858,石家庄,2014年 , 14万公里,1,16.59万,2.98万
沃尔沃XC60 2015款 T5 AWD 智远版,沃尔沃,https://www.dongchedi.com/usedcar/12545616,长春,2015年 , 11.30万公里,1,43.99万,7.88万
雷克萨斯ES 2018款 200 卓越版 国V,雷克萨斯,https://www.dongchedi.com/usedcar/18471547,东莞,2019年 , 4.94万公里,1,27.90万,18.95万
坦克300 2021款 2.0T 风林铁骑,坦克,https://www.dongchedi.com/usedcar/18404948,佛山,2022年 , 4万公里,0,27.08万,18.38万
凡尔赛C5 X 2022款 1.6T 耀不凡 虎年开门红版,雪铁龙,https://www.dongchedi.com/usedcar/18401858,武汉,2023年 , 3万公里,0,18.67万,11.10万
斯巴鲁BRZ 2015款 2.0i 手动版,斯巴鲁,https://www.dongchedi.com/usedcar/18288883,上海,2016年 , 6.60万公里,0,26.90万,13.80万
奥迪A4L 2016款 35 TFSI 典藏版 自动标准型,奥迪,https://www.dongchedi.com/usedcar/18252023,东莞,2015年 , 10.50万公里,0,31.28万,6.98万
奔驰GLE 2022款 改款 GLE 350 4MATIC 时尚型,奔驰,https://www.dongchedi.com/usedcar/18251877,成都,2022年 , 4.10万公里,0,73.58万,49.80万
宝马3系 2017款 320Li 时尚型,宝马,https://www.dongchedi.com/usedcar/18066283,福州,2017年 , 8万公里,0,32.59万,8.63万
宝马X4 2014款 xDrive20i X设计套装,宝马,https://www.dongchedi.com/usedcar/17983879,武汉,2015年 , 11.90万公里,0,48.98万,8.98万
奔驰E级 2023款 改款 E 300 L 豪华型 轿车,奔驰,https://www.dongchedi.com/usedcar/16379913,成都,2023年 , 1.70万公里,1,50.41万,42.48万
锐界 2016款 EcoBoost 245 四驱尊锐型 7座,福特,https://www.dongchedi.com/usedcar/15030907,哈尔滨,2017年 , 12万公里,1,33.98万,7.60万
雷克萨斯ES 2020款 200 卓越版 国VI,雷克萨斯,https://www.dongchedi.com/usedcar/18479057,深圳,2021年 , 6万公里,0,29.00万,18.58万
奥迪A6L 2023款 45 TFSI 臻选动感型,奥迪,https://www.dongchedi.com/usedcar/18328793,昆明,2023年 , 2.30万公里,0,45.49万,30.98万
途锐 2019款 3.0TSI 锐锋版 国VI,大众,https://www.dongchedi.com/usedcar/18300532,青岛,2019年 , 14万公里,0,70.98万,24.80万
